AREG,StrDatZeit,NT,WTN,WTX,DatZeit_UTC,Datum_UTC,Zeit_UTC,DatZeit_LT,Datum_LT,Zeit_LT,IATA,ICAO,CATY,ORDE,STA_STD,BW,RW,RT,SID,FTYP,TYSP,LK,STGR,IVF,MTW,TOW
HBVGB,251210181255,T,4,Mittwoch,10.12.2025 17:12:55,10.12.2025,17:12:55,10.12.2025 18:12:55,10.12.2025,18:12:55,CAZ101,CAZ101,31,LIRA,1725,S,28,,D3W,PC24,,5,77750.0,I,8,
LXFLJ,251211151500,T,5,Donnerstag,11.12.2025 14:15:00,11.12.2025,14:15:00,11.12.2025 15:15:00,11.12.2025,15:15:00,JFA039T,JFA39T,41,LSGC,1415,L,,,,PC12,,D,62210.0,I,4,
HBKGW,251211144500,T,5,Donnerstag,11.12.2025 13:45:00,11.12.2025,13:45:00,11.12.2025 14:45:00,11.12.2025,14:45:00,XXG1345,HBKGW,43,LSZE,1345,L,28,,,SLG2,,D,60990.0,V,0,
CSPHP,251216102823,T,3,Dienstag,16.12.2025 09:28:23,16.12.2025,09:28:23,16.12.2025 10:28:23,16.12.2025,10:28:23,NJE125Y,NJE125Y,21,ELLX,0815,S,28,K,V4W,E55P,,5,77610.0,I,8,
SXDVH,251205192410,T,6,Freitag,05.12.2025 18:24:10,05.12.2025,18:24:10,05.12.2025 19:24:10,05.12.2025,19:24:10,A3534,AEE534,10,LGTS,1835,L,14,,,A320,232,4,27050.0,I,73,
SXNEB,251210181304,T,4,Mittwoch,10.12.2025 17:13:04,10.12.2025,17:13:04,10.12.2025 18:13:04,10.12.2025,18:13:04,A3852,AEE852,10,LGAV,1720,L,14,,,A20N,271N,4,28110.0,I,75,
HBJCJ,251203162843,T,4,Mittwoch,03.12.2025 15:28:43,03.12.2025,15:28:43,03.12.2025 16:28:43,03.12.2025,16:28:43,LX970,SWR23F,10,EDDB,1520,S,28,I,D3W,BCS3,300,5,28030.0,I,65,54.0
HBIOH,251207112031,T,1,Sonntag,07.12.2025 10:20:31,07.12.2025,10:20:31,07.12.2025 11:20:31,07.12.2025,11:20:31,LX1727,SWR5GT,10,LIRF,1020,L,14,,,A321,111,3,27070.0,I,83,
9HVCB,251203184811,T,4,Mittwoch,03.12.2025 17:48:11,03.12.2025,17:48:11,03.12.2025 18:48:11,03.12.2025,18:48:11,VJT453,VJT453,31,LIML,1745,S,28,,V4W,CL35,350,4,77240.0,I,18,
HBJJN,251205202210,T,6,Freitag,05.12.2025 19:22:10,05.12.2025,19:22:10,05.12.2025 20:22:10,05.12.2025,20:22:10,LX919,SWR919F,10,EDDC,1940,L,14,,,A320,214,4,27050.0,I,77,
